Disaster Type,Before (Preparedness),During (Response),After (Recovery)
Earthquake,Secure heavy furniture and shelves to walls,"Drop, Cover, and Hold On",Check for injuries and provide first aid
,"Prepare an emergency kit (water, food, torch, first-aid)","Stay away from windows, mirrors, and heavy objects",Inspect your home for structural damage
,Identify safe spots in each room (under sturdy furniture),"If outdoors, move to open space",Avoid using elevators
,Learn evacuation routes,"If driving, stop safely away from buildings and bridges",Be ready for aftershocks
,Practice earthquake drills,,Contact authorities If utilities are damaged
Flood,Keep emergency contacts and evacuation plan ready,move to higher ground immediately,Wait for official “all clear” before returning
,Store important documents in waterproof bags,Avoid walking/driving through floodwaters,Avoid floodwater due to contamination risk
,move valuables to higher ground,Listen to emergency broadcasts,Disinfect water and food supplies
,Stock up On clean drinking water and dry food,Switch off electricity and gas If instructed,Photograph damages for insurance
,Stay updated On weather alerts,,Begin repairs safely
Cyclone/Hurricane,Install storm shutters or board windows,"Stay indoors, away from windows",Stay cautious of downed power lines and debris
,Reinforce doors and roofs,Listen to official updates,Use boiled or bottled water
,Stock up On non-perishable food and water,Avoid using open flames due to gas leak risk,Check for building damage before entering
,Charge power banks and Keep extra batteries,Keep emergency kit nearby,Contact loved ones to inform you’re safe
,Secure outdoor furniture,,
Fire (Urban/Wildfire),Install smoke alarms and fire extinguishers,Evacuate immediately If instructed,Do not re-enter until authorities declare it safe
,Keep exits clear,Stay low to Avoid smoke inhalation,Check for structural damage
,Practice fire drills,"Use stairs, not elevators",Ventilate your home
,Store flammable materials safely,Cover nose and mouth with cloth,Document damages
,Prepare a “go bag” with essentials,,
Pandemic,Keep adequate medical supplies and hygiene products,"Follow health guidelines (masking, distancing)",Continue hygiene precautions
,Stay informed from trusted sources,Avoid crowded areas,Support recovery in your community
,plan remote work/school options,Keep up with vaccination and treatment advice,Restock essential supplies
,Stock long-term food supplies,Monitor health symptoms,Seek mental health Support If needed
,Maintain healthy habits to strengthen immunity,,
Drought,Store water safely,Use water strictly for essentials,Restore soil health
,Implement water conservation habits,Follow government restrictions,Invest in rainwater harvesting
,Plant drought-resistant crops If farming,Protect crops and livestock where possible,Repair and expand water storage systems
,plan for alternative water sources,,
Landslide,Avoid construction On steep slopes,move to higher and stable ground immediately,Stay alert for secondary slides
,Plant vegetation to reduce soil erosion,Avoid river valleys and slopes,Repair drainage systems
,Identify safe evacuation points,Listen to official evacuation orders,Replant vegetation
,Keep weather and terrain updates,,Document damage for aid
